traffic_mean,traffic_std,packet_rate,packet_variance,active_hosts,traffic_entropy,label
-67.76470588235294,14.420285596277235,3.4,207.9446366782007,17,2.6157181506934313,0
-68.06666666666666,15.745757806116826,3.0,247.92888888888893,15,2.6436541823806836,0
-62.666666666666664,14.664772604972624,2.4,215.05555555555557,12,2.611621849723162,0
-66.14285714285714,14.41158830771336,2.8,207.69387755102042,14,2.4817929470648217,0
-64.61538461538461,13.21734560538049,2.6,174.69822485207098,13,2.486079932002364,0
-66.28571428571429,13.806978418945418,2.8,190.63265306122452,14,2.513401618725447,0
-69.45454545454545,15.928040662267378,2.2,253.702479338843,11,2.911568470815629,0
-66.61538461538461,13.590372506008471,2.6,184.69822485207098,13,2.705035592779883,0
-64.125,17.25135864214758,1.6,297.609375,8,2.69386969179797,0
-61.27272727272727,13.74502163820453,2.2,188.92561983471077,11,2.3688340500677785,0
-62.916666666666664,14.12125073151179,2.4,199.40972222222226,12,2.655091902751771,0
-66.0,13.808210118138652,3.0,190.66666666666666,15,2.4272897701097733,0
-65.14285714285714,13.783308450322611,2.8,189.9795918367347,14,2.3915762037909793,0
-66.41666666666667,15.665558471443724,2.4,245.4097222222222,12,2.677011436571254,0
-65.07142857142857,12.79767995555827,2.8,163.78061224489792,14,2.4817929470648217,0
-64.75,15.265019925743083,2.4,233.02083333333334,12,2.6871120884296977,0
-65.61538461538461,14.757206643839956,2.6,217.7751479289941,13,2.670402837000821,0
-64.08333333333333,14.7391673969582,2.4,217.24305555555554,12,2.4413802844122756,0
-67.06666666666666,13.557121949571581,3.0,183.79555555555552,15,2.521135290252991,0
-67.14285714285714,13.378325449649319,2.8,178.97959183673467,14,2.6134764278670133,0
-63.5,13.629013170439011,2.4,185.75,12,2.5586843531177283,0
-67.8,13.866987175783116,3.0,192.29333333333338,15,2.650433892764096,0
-65.83333333333333,15.34510417762689,2.4,235.47222222222226,12,2.525091105020977,0
-67.5,15.38126566096995,2.4,236.58333333333334,12,2.4708638039972812,0
-66.8125,12.526066571354313,3.2,156.90234375,16,2.5010463684531765,0
-66.0,16.501748159140362,2.6,272.3076923076923,13,2.66002870888588,0
-64.86666666666666,13.899000763444192,3.0,193.18222222222226,15,2.5886871707918355,0
-62.916666666666664,15.771590140361738,2.4,248.74305555555557,12,2.525091105020977,0
-66.75,15.700981922584758,2.4,246.52083333333334,12,2.7648085842770467,0
-61.5,15.654072952429985,2.0,245.05,10,2.496197854623502,0
-67.06666666666666,14.986512454722599,3.0,224.5955555555556,15,2.6142963116313944,0
-66.86666666666666,12.643136038534463,3.0,159.8488888888889,15,2.5412577454002916,0
-68.875,15.016137153076354,3.2,225.484375,16,2.5476905000626076,0
-68.11764705882354,12.446980984967334,3.4,154.92733564013838,17,2.51823965670182,0
-65.26666666666667,14.111303585738948,3.0,199.1288888888889,15,2.5052541484166473,0
-63.0,15.261359405671923,2.2,232.9090909090909,11,2.667223836061631,0
-63.583333333333336,15.096679178621443,2.4,227.9097222222222,12,2.405875105839211,0
-61.36363636363637,13.936692755409286,2.2,194.23140495867767,11,2.4623821692638455,0
-65.4,14.079772725438433,3.0,198.23999999999998,15,2.6372537074827567,0
-65.0,13.73733182660613,2.8,188.71428571428572,14,2.6079878889504005,0
-65.0,13.948886284267592,2.8,194.57142857142858,14,2.688751184255968,0
-62.45454545454545,13.93728574308131,2.2,194.24793388429754,11,2.593319815118998,0
-65.64285714285714,14.054013879402886,2.8,197.51530612244895,14,2.62415329064597,0
-66.92857142857143,15.030750792550421,2.8,225.92346938775512,14,2.584740794912665,0
-66.13333333333334,10.96580543730778,3.0,120.2488888888889,15,2.4502471659611356,0
-66.46666666666667,14.813807373153228,3.0,219.44888888888894,15,2.673728707359833,0
-64.28571428571429,13.935712455151085,2.8,194.20408163265307,14,2.5845022091363297,0
-67.23529411764706,12.954805657337248,3.4,167.82698961937717,17,2.619294725946919,0
-67.8125,14.03664289458131,3.2,197.02734375,16,2.6405002395582535,0
-65.46153846153847,13.669817311341209,2.6,186.8639053254438,13,2.5957770199159618,0
